apps on platform,21
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
apps scanned,3,1,0,0
apps onboarded,1,1,0,0
----------------------------------------
----------------------------------------
All applications
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
new critical,63,1,0,0
new high,63,2,0,0
new medium,7,0,0,0
----------------------------------------
open critical,573,574,574,574
open high,737,737,737,737
open medium,737,737,737,737
----------------------------------------
Org1
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
open critical,146,146,146,146
open high,171,171,171,171
open medium,18,18,18,18
----------------------------------------
Org2
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
open critical,31,31,31,31
open high,37,37,37,37
open medium,3,3,3,3
----------------------------------------
Sandbox Organization
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
open critical,89,90,90,90
open high,113,113,113,113
open medium,12,12,12,12
----------------------------------------
Test
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
open critical,307,307,307,307
open high,416,416,416,416
open medium,34,34,34,34
----------------------------------------
PCI Applications
----------------------------------------
new critical,0,0,0,0
new high,0,0,0,0
new medium,0,0,0,0
----------------------------------------
open critical,104,104,104,104
open high,133,133,133,133
open medium,133,133,133,133
----------------------------------------
PCI in Org1
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
open critical,55,55,55,55
open high,74,74,74,74
open medium,11,11,11,11
----------------------------------------
PCI in Org2
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
open critical,31,31,31,31
open high,37,37,37,37
open medium,3,3,3,3
----------------------------------------
PCI in Sandbox Organization
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
open critical
open high
open medium
----------------------------------------
PCI in Test
----------------------------------------
,2021-02,2021-03,2021-04,2021-05
open critical,18,18,18,18
open high,22,22,22,22
open medium,3,3,3,3
----------------------------------------
